Category,Done,Err
Dugtrio,36,0
Alakazam,19,0
Magmar,31,0
Magnemite,33,0
Poliwag,36,0
Weepinbell,31,0
Magneton,30,0
Golduck,33,0
Voltorb,39,0
Kabutops,30,0
Gengar,35,0
Tentacruel,34,0
Rapidash,34,0
Cubone,28,0
Spearow,39,0
Rhydon,35,0
Seaking,33,0
Slowbro,33,0
Chansey,31,0
Moltres,31,0
Ekans,26,0
Rhyhorn,29,0
Exeggcute,33,0
Raticate,29,0
Oddish,36,0
Drowzee,28,0
Tentacool,32,0
Arbok,29,0
Porygon,33,0
Charizard,25,0
Seadra,34,0
Sandshrew,33,0
Raichu,36,0
Gloom,35,0
Dodrio,28,0
Cloyster,35,0
Vileplume,40,0
Onix,30,0
Pidgeotto,28,0
Nidoqueen,37,0
Kangaskhan,36,0
Vaporeon,42,0
Diglett,28,0
Victreebel,35,0
Lapras,38,0
Sandslash,32,0
Ivysaur,28,0
Blastoise,30,0
Krabby,34,0
Omanyte,32,0
Venonat,33,0
Squirtle,37,0
Weedle,35,0
Aerodactyl,25,0
Clefairy,33,0
Poliwrath,22,0
Charmander,36,0
Nidoking,37,0
Pikachu,44,0
Tauros,38,0
Horsea,38,0
Pinsir,29,0
Venomoth,38,0
Jynx,35,0
Tangela,38,0
Dratini,19,0
Arcanine,29,0
Koffing,34,0
Flareon,32,0
Omastar,31,0
Wartortle,34,0
Jigglypuff,33,0
Magikarp,31,0
Pidgeot,31,0
Metapod,38,0
Articuno,32,0
Goldeen,33,0
Exeggutor,37,0
Gyarados,33,0
Mewtwo,38,0
Pidgey,34,0
Clefable,27,0
Ditto,28,0
Geodude,25,0
Venusaur,47,0
Beedrill,24,0
Psyduck,28,0
Dewgong,31,0
Rattata,31,0
Paras,33,0
Zubat,28,0
Nidorino,36,0
Alolan Sandslash,29,0
Poliwhirl,35,0
Shellder,33,0
MrMime,32,0
Scyther,41,0
Bulbasaur,29,0
Machoke,30,0
Kadabra,35,0
Marowak,21,0
Mankey,39,0
Weezing,35,0
Graveler,28,0
Grimer,31,0
Dragonite,34,0
Vulpix,35,0
Zapdos,37,0
Kakuna,33,0
Snorlax,42,0
Hypno,33,0
Kabuto,35,0
Electabuzz,29,0
Mew,38,0
Abra,25,0
Ponyta,32,0
Parasect,31,0
Butterfree,19,0
Golbat,34,0
Muk,31,0
Eevee,26,0
Golem,33,0
Primeape,36,0
Staryu,33,0
Caterpie,26,0
Electrode,36,0
Slowpoke,29,0
Lickitung,34,0
Dragonair,30,0
Persian,26,0
Wigglytuff,40,0
Bellsprout,28,0
Fearow,34,0
Seel,34,0
Hitmonlee,34,0
Hitmonchan,33,0
Starmie,35,0
Machamp,38,0
Charmeleon,33,0
Meowth,19,0
Ninetales,31,0
Kingler,33,0
Doduo,25,0
Haunter,34,0
Nidorina,29,0
Growlithe,31,0
Machop,29,0
Gastly,31,0
Farfetchd,34,0
Jolteon,36,0
